parameter_id,group,scope,region_or_case,parameter,central_value,units,dependency,calibration_status,source,code_location,uncertainty_treatment,evidence_role
P0114,regional biophysical,canonical,north_america,bnf_ramp_years,8.0,yr,primitive,externally specified,legacy managed-transition assumption,code/model/soil_n_model.py::get_default_regions[north_america].bnf_ramp_years,fixed; not varied in submitted analyses,central path
P0115,regional biophysical,canonical,north_america,residue_retention,0.9,fraction,primitive,externally specified,regional residue-management literature,code/model/soil_n_model.py::get_default_regions[north_america].residue_retention,MC multiplier 0.80-1.15,central path
P0116,regional biophysical,canonical,north_america,yield_max_regional,0.0,t grain ha-1,primitive,disabled sentinel,disabled sentinel; no independent ceiling,code/model/soil_n_model.py::get_default_regions[north_america].yield_max_regional,not applicable; runtime calibration is authoritative,central path
P0117,regional biophysical,canonical,north_america,mitscherlich_c_regional,0.0,(kg N ha-1)-1,primitive,externally specified,zero sentinel; global c used,code/model/soil_n_model.py::get_default_regions[north_america].mitscherlich_c_regional,fixed; not varied in submitted analyses,central path
P0118,regional biophysical,canonical,north_america,yield_min_regional,1.1,t grain ha-1,primitive,externally specified,long-term unfertilized experiments/historical records,code/model/soil_n_model.py::get_default_regions[north_america].yield_min_regional,fixed; not varied in submitted analyses,central path
P0119,regional biophysical,canonical,north_america,root_shoot_c_ratio,0.8,mass ratio,primitive,externally specified,Bolinder/Katterer/Johnson source family,code/model/soil_n_model.py::get_default_regions[north_america].root_shoot_c_ratio,fixed; not varied in submitted analyses,central path
P0120,regional biophysical,canonical,north_america,cre_regional,0.28,fraction,primitive,calibrated,calibrated to approximate regional SOC equilibrium,code/model/soil_n_model.py::get_default_regions[north_america].cre_regional,MC multiplier 0.40-1.80,central path
P0121,regional economic,canonical,north_america,eta,-0.3,elasticity,primitive,literature-calibrated,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[north_america].eta,MC multiplier 0.60-1.40,central or scenario path
P0122,regional economic,canonical,north_america,alpha,0.1,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[north_america].alpha,fixed; not varied in submitted analyses,central or scenario path
P0123,regional economic,canonical,north_america,eps_F_PF,-0.2,elasticity,primitive,literature-calibrated,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[north_america].eps_F_PF,halved one-at-a-time test and MC multiplier 0.50-1.50,central or scenario path
P0124,regional economic,canonical,north_america,eps_F_PY,0.1,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[north_america].eps_F_PY,fixed; not varied in submitted analyses,central or scenario path
P0125,regional economic,canonical,north_america,eps_LD_PL,-0.3,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[north_america].eps_LD_PL,fixed; not varied in submitted analyses,central or scenario path
P0126,regional economic,canonical,north_america,eps_LD_PY,0.2,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[north_america].eps_LD_PY,fixed; not varied in submitted analyses,central or scenario path
P0127,regional economic,canonical,north_america,eps_LS_PL,0.4,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[north_america].eps_LS_PL,fixed; not varied in submitted analyses,central or scenario path
P0128,regional economic,canonical,north_america,eps_F_N,0.0,elasticity,primitive,unsupported estimate set to zero centrally,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[north_america].eps_F_N,"(0.0, -0.25, -0.5, -1.0)",central or scenario path
P0129,regional biophysical,canonical,europe,soc_initial,42.0,t C ha-1 (0-30 cm),primitive,externally specified,ISRIC SoilGrids cropland regionalization,code/model/soil_n_model.py::get_default_regions[europe].soc_initial,fixed; not varied in submitted analyses,central path
P0130,regional biophysical,canonical,europe,cn_bulk,10.5,mass ratio,primitive,externally specified,regional soil C:N literature/assumption,code/model/soil_n_model.py::get_default_regions[europe].cn_bulk,one-at-a-time +/-20% mineralizable-N test,central path
P0131,regional biophysical,canonical,europe,cropland_mha,130.0,million ha,primitive,externally specified,FAOSTAT land-use aggregation,code/model/soil_n_model.py::get_default_regions[europe].cropland_mha,fixed; not varied in submitted analyses,central path
P0132,regional biophysical,canonical,europe,synth_n_current,85.0,kg N ha-1 yr-1,primitive,externally specified,FAOSTAT/IFA regional N-use aggregation,code/model/soil_n_model.py::get_default_regions[europe].synth_n_current,fixed; not varied in submitted analyses,central path
P0133,regional biophysical,canonical,europe,pop_supported,900.0,million people,primitive,externally specified,crop-calorie allocation; legacy annual output only,code/model/soil_n_model.py::get_default_regions[europe].pop_supported,fixed; not varied in submitted analyses,central path
P0134,regional biophysical,canonical,europe,texture_class,1,ordinal class,primitive,externally specified,regional dominant-texture simplification,code/model/soil_n_model.py::get_default_regions[europe].texture_class,fixed; not varied in submitted analyses,central path
P0135,regional biophysical,canonical,europe,whc_sensitivity,3.48,mm per SOC percentage point,primitive,externally specified,derived 0-30 cm Minasny and McBratney 2018 scaling,code/model/soil_n_model.py::get_default_regions[europe].whc_sensitivity,deterministic bounds 2.3-8.4,central path
P0136,regional biophysical,canonical,europe,water_stress_coeff,0.003,fraction per mm,primitive,externally specified,regional structural assumption,code/model/soil_n_model.py::get_default_regions[europe].water_stress_coeff,fixed; not varied in submitted analyses,central path
P0137,regional biophysical,canonical,europe,baseline_water_deficit,0.0,mm,primitive,externally specified,regional structural assumption,code/model/soil_n_model.py::get_default_regions[europe].baseline_water_deficit,fixed; not varied in submitted analyses,central path
P0138,regional biophysical,canonical,europe,atm_n_deposition,12.0,kg N ha-1 yr-1,primitive,externally specified,Dentener/Vet/EMEP/NADP source family,code/model/soil_n_model.py::get_default_regions[europe].atm_n_deposition,fixed; not varied in submitted analyses,central path
P0139,regional biophysical,canonical,europe,bnf_potential,18.333333333333336,kg N ha-1 yr-1,derived,"derived, not independently specified",derived from BNF component primitives,code/model/soil_n_model.py::get_default_regions[europe].bnf_potential,fixed; not varied in submitted analyses,central path
P0140,regional biophysical,canonical,europe,bnf_ramp_years,8.0,yr,primitive,externally specified,legacy managed-transition assumption,code/model/soil_n_model.py::get_default_regions[europe].bnf_ramp_years,fixed; not varied in submitted analyses,central path
P0141,regional biophysical,canonical,europe,residue_retention,0.9,fraction,primitive,externally specified,regional residue-management literature,code/model/soil_n_model.py::get_default_regions[europe].residue_retention,MC multiplier 0.80-1.15,central path
P0142,regional biophysical,canonical,europe,yield_max_regional,0.0,t grain ha-1,primitive,disabled sentinel,disabled sentinel; no independent ceiling,code/model/soil_n_model.py::get_default_regions[europe].yield_max_regional,not applicable; runtime calibration is authoritative,central path
P0143,regional biophysical,canonical,europe,mitscherlich_c_regional,0.0,(kg N ha-1)-1,primitive,externally specified,zero sentinel; global c used,code/model/soil_n_model.py::get_default_regions[europe].mitscherlich_c_regional,fixed; not varied in submitted analyses,central path
P0144,regional biophysical,canonical,europe,yield_min_regional,1.0,t grain ha-1,primitive,externally specified,long-term unfertilized experiments/historical records,code/model/soil_n_model.py::get_default_regions[europe].yield_min_regional,fixed; not varied in submitted analyses,central path
P0145,regional biophysical,canonical,europe,root_shoot_c_ratio,0.8,mass ratio,primitive,externally specified,Bolinder/Katterer/Johnson source family,code/model/soil_n_model.py::get_default_regions[europe].root_shoot_c_ratio,fixed; not varied in submitted analyses,central path
P0146,regional biophysical,canonical,europe,cre_regional,0.259,fraction,primitive,calibrated,calibrated to approximate regional SOC equilibrium,code/model/soil_n_model.py::get_default_regions[europe].cre_regional,MC multiplier 0.40-1.80,central path
P0147,regional economic,canonical,europe,eta,-0.35,elasticity,primitive,literature-calibrated,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[europe].eta,MC multiplier 0.60-1.40,central or scenario path
P0148,regional economic,canonical,europe,alpha,0.08,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[europe].alpha,fixed; not varied in submitted analyses,central or scenario path
P0149,regional economic,canonical,europe,eps_F_PF,-0.25,elasticity,primitive,literature-calibrated,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[europe].eps_F_PF,halved one-at-a-time test and MC multiplier 0.50-1.50,central or scenario path
P0150,regional economic,canonical,europe,eps_F_PY,0.1,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[europe].eps_F_PY,fixed; not varied in submitted analyses,central or scenario path
P0151,regional economic,canonical,europe,eps_LD_PL,-0.3,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[europe].eps_LD_PL,fixed; not varied in submitted analyses,central or scenario path
P0152,regional economic,canonical,europe,eps_LD_PY,0.15,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[europe].eps_LD_PY,fixed; not varied in submitted analyses,central or scenario path
P0153,regional economic,canonical,europe,eps_LS_PL,0.3,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[europe].eps_LS_PL,fixed; not varied in submitted analyses,central or scenario path
P0154,regional economic,canonical,europe,eps_F_N,0.0,elasticity,primitive,unsupported estimate set to zero centrally,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[europe].eps_F_N,"(0.0, -0.25, -0.5, -1.0)",central or scenario path
P0155,regional biophysical,canonical,east_asia,soc_initial,35.0,t C ha-1 (0-30 cm),primitive,externally specified,ISRIC SoilGrids cropland regionalization,code/model/soil_n_model.py::get_default_regions[east_asia].soc_initial,fixed; not varied in submitted analyses,central path
P0156,regional biophysical,canonical,east_asia,cn_bulk,10.0,mass ratio,primitive,externally specified,regional soil C:N literature/assumption,code/model/soil_n_model.py::get_default_regions[east_asia].cn_bulk,one-at-a-time +/-20% mineralizable-N test,central path
P0157,regional biophysical,canonical,east_asia,cropland_mha,120.0,million ha,primitive,externally specified,FAOSTAT land-use aggregation,code/model/soil_n_model.py::get_default_regions[east_asia].cropland_mha,fixed; not varied in submitted analyses,central path
P0158,regional biophysical,canonical,east_asia,synth_n_current,250.0,kg N ha-1 yr-1,primitive,externally specified,FAOSTAT/IFA regional N-use aggregation,code/model/soil_n_model.py::get_default_regions[east_asia].synth_n_current,fixed; not varied in submitted analyses,central path
P0159,regional biophysical,canonical,east_asia,pop_supported,1875.0,million people,primitive,externally specified,crop-calorie allocation; legacy annual output only,code/model/soil_n_model.py::get_default_regions[east_asia].pop_supported,fixed; not varied in submitted analyses,central path
P0160,regional biophysical,canonical,east_asia,texture_class,1,ordinal class,primitive,externally specified,regional dominant-texture simplification,code/model/soil_n_model.py::get_default_regions[east_asia].texture_class,fixed; not varied in submitted analyses,central path
P0161,regional biophysical,canonical,east_asia,whc_sensitivity,3.48,mm per SOC percentage point,primitive,externally specified,derived 0-30 cm Minasny and McBratney 2018 scaling,code/model/soil_n_model.py::get_default_regions[east_asia].whc_sensitivity,deterministic bounds 2.3-8.4,central path
P0162,regional biophysical,canonical,east_asia,water_stress_coeff,0.004,fraction per mm,primitive,externally specified,regional structural assumption,code/model/soil_n_model.py::get_default_regions[east_asia].water_stress_coeff,fixed; not varied in submitted analyses,central path
P0163,regional biophysical,canonical,east_asia,baseline_water_deficit,5.0,mm,primitive,externally specified,regional structural assumption,code/model/soil_n_model.py::get_default_regions[east_asia].baseline_water_deficit,fixed; not varied in submitted analyses,central path
P0164,regional biophysical,canonical,east_asia,atm_n_deposition,20.0,kg N ha-1 yr-1,primitive,externally specified,Dentener/Vet/EMEP/NADP source family,code/model/soil_n_model.py::get_default_regions[east_asia].atm_n_deposition,fixed; not varied in submitted analyses,central path
P0165,regional biophysical,canonical,east_asia,bnf_potential,13.75,kg N ha-1 yr-1,derived,"derived, not independently specified",derived from BNF component primitives,code/model/soil_n_model.py::get_default_regions[east_asia].bnf_potential,fixed; not varied in submitted analyses,central path
P0166,regional biophysical,canonical,east_asia,bnf_ramp_years,10.0,yr,primitive,externally specified,legacy managed-transition assumption,code/model/soil_n_model.py::get_default_regions[east_asia].bnf_ramp_years,fixed; not varied in submitted analyses,central path
P0167,regional biophysical,canonical,east_asia,residue_retention,0.75,fraction,primitive,externally specified,regional residue-management literature,code/model/soil_n_model.py::get_default_regions[east_asia].residue_retention,MC multiplier 0.80-1.15,central path
P0168,regional biophysical,canonical,east_asia,yield_max_regional,0.0,t grain ha-1,primitive,disabled sentinel,disabled sentinel; no independent ceiling,code/model/soil_n_model.py::get_default_regions[east_asia].yield_max_regional,not applicable; runtime calibration is authoritative,central path
P0169,regional biophysical,canonical,east_asia,mitscherlich_c_regional,0.0,(kg N ha-1)-1,primitive,externally specified,zero sentinel; global c used,code/model/soil_n_model.py::get_default_regions[east_asia].mitscherlich_c_regional,fixed; not varied in submitted analyses,central path
P0170,regional biophysical,canonical,east_asia,yield_min_regional,0.9,t grain ha-1,primitive,externally specified,long-term unfertilized experiments/historical records,code/model/soil_n_model.py::get_default_regions[east_asia].yield_min_regional,fixed; not varied in submitted analyses,central path
P0171,regional biophysical,canonical,east_asia,root_shoot_c_ratio,0.6,mass ratio,primitive,externally specified,Bolinder/Katterer/Johnson source family,code/model/soil_n_model.py::get_default_regions[east_asia].root_shoot_c_ratio,fixed; not varied in submitted analyses,central path
P0172,regional biophysical,canonical,east_asia,cre_regional,0.226,fraction,primitive,calibrated,calibrated to approximate regional SOC equilibrium,code/model/soil_n_model.py::get_default_regions[east_asia].cre_regional,MC multiplier 0.40-1.80,central path
P0173,regional economic,canonical,east_asia,eta,-0.45,elasticity,primitive,literature-calibrated,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[east_asia].eta,MC multiplier 0.60-1.40,central or scenario path
P0174,regional economic,canonical,east_asia,alpha,0.1,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[east_asia].alpha,fixed; not varied in submitted analyses,central or scenario path
P0175,regional economic,canonical,east_asia,eps_F_PF,-0.3,elasticity,primitive,literature-calibrated,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[east_asia].eps_F_PF,halved one-at-a-time test and MC multiplier 0.50-1.50,central or scenario path
P0176,regional economic,canonical,east_asia,eps_F_PY,0.1,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[east_asia].eps_F_PY,fixed; not varied in submitted analyses,central or scenario path
P0177,regional economic,canonical,east_asia,eps_LD_PL,-0.3,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[east_asia].eps_LD_PL,fixed; not varied in submitted analyses,central or scenario path
P0178,regional economic,canonical,east_asia,eps_LD_PY,0.15,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[east_asia].eps_LD_PY,fixed; not varied in submitted analyses,central or scenario path
P0179,regional economic,canonical,east_asia,eps_LS_PL,0.3,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[east_asia].eps_LS_PL,fixed; not varied in submitted analyses,central or scenario path
P0180,regional economic,canonical,east_asia,eps_F_N,0.0,elasticity,primitive,unsupported estimate set to zero centrally,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[east_asia].eps_F_N,"(0.0, -0.25, -0.5, -1.0)",central or scenario path
P0181,regional biophysical,canonical,south_asia,soc_initial,25.0,t C ha-1 (0-30 cm),primitive,externally specified,ISRIC SoilGrids cropland regionalization,code/model/soil_n_model.py::get_default_regions[south_asia].soc_initial,fixed; not varied in submitted analyses,central path
P0182,regional biophysical,canonical,south_asia,cn_bulk,9.5,mass ratio,primitive,externally specified,regional soil C:N literature/assumption,code/model/soil_n_model.py::get_default_regions[south_asia].cn_bulk,one-at-a-time +/-20% mineralizable-N test,central path
P0183,regional biophysical,canonical,south_asia,cropland_mha,200.0,million ha,primitive,externally specified,FAOSTAT land-use aggregation,code/model/soil_n_model.py::get_default_regions[south_asia].cropland_mha,fixed; not varied in submitted analyses,central path
P0184,regional biophysical,canonical,south_asia,synth_n_current,110.0,kg N ha-1 yr-1,primitive,externally specified,FAOSTAT/IFA regional N-use aggregation,code/model/soil_n_model.py::get_default_regions[south_asia].synth_n_current,fixed; not varied in submitted analyses,central path
P0185,regional biophysical,canonical,south_asia,pop_supported,1350.0,million people,primitive,externally specified,crop-calorie allocation; legacy annual output only,code/model/soil_n_model.py::get_default_regions[south_asia].pop_supported,fixed; not varied in submitted analyses,central path
P0186,regional biophysical,canonical,south_asia,texture_class,1,ordinal class,primitive,externally specified,regional dominant-texture simplification,code/model/soil_n_model.py::get_default_regions[south_asia].texture_class,fixed; not varied in submitted analyses,central path
P0187,regional biophysical,canonical,south_asia,whc_sensitivity,3.48,mm per SOC percentage point,primitive,externally specified,derived 0-30 cm Minasny and McBratney 2018 scaling,code/model/soil_n_model.py::get_default_regions[south_asia].whc_sensitivity,deterministic bounds 2.3-8.4,central path
P0188,regional biophysical,canonical,south_asia,water_stress_coeff,0.005,fraction per mm,primitive,externally specified,regional structural assumption,code/model/soil_n_model.py::get_default_regions[south_asia].water_stress_coeff,fixed; not varied in submitted analyses,central path
P0189,regional biophysical,canonical,south_asia,baseline_water_deficit,10.0,mm,primitive,externally specified,regional structural assumption,code/model/soil_n_model.py::get_default_regions[south_asia].baseline_water_deficit,fixed; not varied in submitted analyses,central path
P0190,regional biophysical,canonical,south_asia,atm_n_deposition,12.0,kg N ha-1 yr-1,primitive,externally specified,Dentener/Vet/EMEP/NADP source family,code/model/soil_n_model.py::get_default_regions[south_asia].atm_n_deposition,fixed; not varied in submitted analyses,central path
P0191,regional biophysical,canonical,south_asia,bnf_potential,22.142857142857142,kg N ha-1 yr-1,derived,"derived, not independently specified",derived from BNF component primitives,code/model/soil_n_model.py::get_default_regions[south_asia].bnf_potential,fixed; not varied in submitted analyses,central path
P0192,regional biophysical,canonical,south_asia,bnf_ramp_years,12.0,yr,primitive,externally specified,legacy managed-transition assumption,code/model/soil_n_model.py::get_default_regions[south_asia].bnf_ramp_years,fixed; not varied in submitted analyses,central path
P0193,regional biophysical,canonical,south_asia,residue_retention,0.5,fraction,primitive,externally specified,regional residue-management literature,code/model/soil_n_model.py::get_default_regions[south_asia].residue_retention,MC multiplier 0.80-1.15,central path
P0194,regional biophysical,canonical,south_asia,yield_max_regional,0.0,t grain ha-1,primitive,disabled sentinel,disabled sentinel; no independent ceiling,code/model/soil_n_model.py::get_default_regions[south_asia].yield_max_regional,not applicable; runtime calibration is authoritative,central path
P0195,regional biophysical,canonical,south_asia,mitscherlich_c_regional,0.0,(kg N ha-1)-1,primitive,externally specified,zero sentinel; global c used,code/model/soil_n_model.py::get_default_regions[south_asia].mitscherlich_c_regional,fixed; not varied in submitted analyses,central path
P0196,regional biophysical,canonical,south_asia,yield_min_regional,0.5,t grain ha-1,primitive,externally specified,long-term unfertilized experiments/historical records,code/model/soil_n_model.py::get_default_regions[south_asia].yield_min_regional,fixed; not varied in submitted analyses,central path
P0197,regional biophysical,canonical,south_asia,root_shoot_c_ratio,0.7,mass ratio,primitive,externally specified,Bolinder/Katterer/Johnson source family,code/model/soil_n_model.py::get_default_regions[south_asia].root_shoot_c_ratio,fixed; not varied in submitted analyses,central path
P0198,regional biophysical,canonical,south_asia,cre_regional,0.341,fraction,primitive,calibrated,calibrated to approximate regional SOC equilibrium,code/model/soil_n_model.py::get_default_regions[south_asia].cre_regional,MC multiplier 0.40-1.80,central path
P0199,regional economic,canonical,south_asia,eta,-0.6,elasticity,primitive,literature-calibrated,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[south_asia].eta,MC multiplier 0.60-1.40,central or scenario path
P0200,regional economic,canonical,south_asia,alpha,0.12,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[south_asia].alpha,fixed; not varied in submitted analyses,central or scenario path
P0201,regional economic,canonical,south_asia,eps_F_PF,-0.4,elasticity,primitive,literature-calibrated,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[south_asia].eps_F_PF,halved one-at-a-time test and MC multiplier 0.50-1.50,central or scenario path
P0202,regional economic,canonical,south_asia,eps_F_PY,0.1,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[south_asia].eps_F_PY,fixed; not varied in submitted analyses,central or scenario path
P0203,regional economic,canonical,south_asia,eps_LD_PL,-0.3,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[south_asia].eps_LD_PL,fixed; not varied in submitted analyses,central or scenario path
P0204,regional economic,canonical,south_asia,eps_LD_PY,0.2,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[south_asia].eps_LD_PY,fixed; not varied in submitted analyses,central or scenario path
P0205,regional economic,canonical,south_asia,eps_LS_PL,0.5,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[south_asia].eps_LS_PL,fixed; not varied in submitted analyses,central or scenario path
P0206,regional economic,canonical,south_asia,eps_F_N,0.0,elasticity,primitive,unsupported estimate set to zero centrally,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[south_asia].eps_F_N,"(0.0, -0.25, -0.5, -1.0)",central or scenario path
P0207,regional biophysical,canonical,southeast_asia,soc_initial,32.0,t C ha-1 (0-30 cm),primitive,externally specified,ISRIC SoilGrids cropland regionalization,code/model/soil_n_model.py::get_default_regions[southeast_asia].soc_initial,fixed; not varied in submitted analyses,central path
P0208,regional biophysical,canonical,southeast_asia,cn_bulk,10.0,mass ratio,primitive,externally specified,regional soil C:N literature/assumption,code/model/soil_n_model.py::get_default_regions[southeast_asia].cn_bulk,one-at-a-time +/-20% mineralizable-N test,central path
P0209,regional biophysical,canonical,southeast_asia,cropland_mha,90.0,million ha,primitive,externally specified,FAOSTAT land-use aggregation,code/model/soil_n_model.py::get_default_regions[southeast_asia].cropland_mha,fixed; not varied in submitted analyses,central path
P0210,regional biophysical,canonical,southeast_asia,synth_n_current,89.0,kg N ha-1 yr-1,primitive,externally specified,FAOSTAT/IFA regional N-use aggregation,code/model/soil_n_model.py::get_default_regions[southeast_asia].synth_n_current,fixed; not varied in submitted analyses,central path
P0211,regional biophysical,canonical,southeast_asia,pop_supported,750.0,million people,primitive,externally specified,crop-calorie allocation; legacy annual output only,code/model/soil_n_model.py::get_default_regions[southeast_asia].pop_supported,fixed; not varied in submitted analyses,central path
P0212,regional biophysical,canonical,southeast_asia,texture_class,1,ordinal class,primitive,externally specified,regional dominant-texture simplification,code/model/soil_n_model.py::get_default_regions[southeast_asia].texture_class,fixed; not varied in submitted analyses,central path
P0213,regional biophysical,canonical,southeast_asia,whc_sensitivity,3.48,mm per SOC percentage point,primitive,externally specified,derived 0-30 cm Minasny and McBratney 2018 scaling,code/model/soil_n_model.py::get_default_regions[southeast_asia].whc_sensitivity,deterministic bounds 2.3-8.4,central path
P0214,regional biophysical,canonical,southeast_asia,water_stress_coeff,0.004,fraction per mm,primitive,externally specified,regional structural assumption,code/model/soil_n_model.py::get_default_regions[southeast_asia].water_stress_coeff,fixed; not varied in submitted analyses,central path
P0215,regional biophysical,canonical,southeast_asia,baseline_water_deficit,5.0,mm,primitive,externally specified,regional structural assumption,code/model/soil_n_model.py::get_default_regions[southeast_asia].baseline_water_deficit,fixed; not varied in submitted analyses,central path
P0216,regional biophysical,canonical,southeast_asia,atm_n_deposition,8.0,kg N ha-1 yr-1,primitive,externally specified,Dentener/Vet/EMEP/NADP source family,code/model/soil_n_model.py::get_default_regions[southeast_asia].atm_n_deposition,fixed; not varied in submitted analyses,central path
P0217,regional biophysical,canonical,southeast_asia,bnf_potential,23.0,kg N ha-1 yr-1,derived,"derived, not independently specified",derived from BNF component primitives,code/model/soil_n_model.py::get_default_regions[southeast_asia].bnf_potential,fixed; not varied in submitted analyses,central path
P0218,regional biophysical,canonical,southeast_asia,bnf_ramp_years,10.0,yr,primitive,externally specified,legacy managed-transition assumption,code/model/soil_n_model.py::get_default_regions[southeast_asia].bnf_ramp_years,fixed; not varied in submitted analyses,central path
P0219,regional biophysical,canonical,southeast_asia,residue_retention,0.7,fraction,primitive,externally specified,regional residue-management literature,code/model/soil_n_model.py::get_default_regions[southeast_asia].residue_retention,MC multiplier 0.80-1.15,central path
P0220,regional biophysical,canonical,southeast_asia,yield_max_regional,0.0,t grain ha-1,primitive,disabled sentinel,disabled sentinel; no independent ceiling,code/model/soil_n_model.py::get_default_regions[southeast_asia].yield_max_regional,not applicable; runtime calibration is authoritative,central path
P0221,regional biophysical,canonical,southeast_asia,mitscherlich_c_regional,0.0,(kg N ha-1)-1,primitive,externally specified,zero sentinel; global c used,code/model/soil_n_model.py::get_default_regions[southeast_asia].mitscherlich_c_regional,fixed; not varied in submitted analyses,central path
P0222,regional biophysical,canonical,southeast_asia,yield_min_regional,1.2,t grain ha-1,primitive,externally specified,long-term unfertilized experiments/historical records,code/model/soil_n_model.py::get_default_regions[southeast_asia].yield_min_regional,fixed; not varied in submitted analyses,central path
P0223,regional biophysical,canonical,southeast_asia,root_shoot_c_ratio,0.6,mass ratio,primitive,externally specified,Bolinder/Katterer/Johnson source family,code/model/soil_n_model.py::get_default_regions[southeast_asia].root_shoot_c_ratio,fixed; not varied in submitted analyses,central path
P0224,regional biophysical,canonical,southeast_asia,cre_regional,0.307,fraction,primitive,calibrated,calibrated to approximate regional SOC equilibrium,code/model/soil_n_model.py::get_default_regions[southeast_asia].cre_regional,MC multiplier 0.40-1.80,central path
P0225,regional economic,canonical,southeast_asia,eta,-0.55,elasticity,primitive,literature-calibrated,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[southeast_asia].eta,MC multiplier 0.60-1.40,central or scenario path
P0226,regional economic,canonical,southeast_asia,alpha,0.12,elasticity,primitive,literature-calibrated or structural,FDME/meta-elasticity and CGE land-response source families,code/model/coupled_econ_biophysical.py::REGIONAL_ECON_PARAMS[southeast_asia].alpha,fixed; not varied in submitted analyses,central or scenario path
